"filename", "language", "Rust", "Slint", "comment", "blank", "total"
"d:\WorkSpace\RSProject\ExtendedSearch\build.rs", "Rust", 28, 0, 5, 6, 39
"d:\WorkSpace\RSProject\ExtendedSearch\src\filter.rs", "Rust", 143, 0, 24, 19, 186
"d:\WorkSpace\RSProject\ExtendedSearch\src\main.rs", "Rust", 13, 0, 4, 8, 25
"d:\WorkSpace\RSProject\ExtendedSearch\src\search_file\mod.rs", "Rust", 223, 0, 48, 36, 307
"d:\WorkSpace\RSProject\ExtendedSearch\src\search_file\settings.rs", "Rust", 159, 0, 18, 20, 197
"d:\WorkSpace\RSProject\ExtendedSearch\src\ui_handler.rs", "Rust", 648, 0, 70, 70, 788
"d:\WorkSpace\RSProject\ExtendedSearch\ui\app-window.slint", "Slint", 0, 56, 4, 8, 68
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\content-area.slint", "Slint", 0, 85, 5, 11, 101
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\custom-button.slint", "Slint", 0, 39, 1, 6, 46
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\filter-settings-optimized.slint", "Slint", 0, 379, 34, 58, 471
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\filter-settings.slint", "Slint", 0, 342, 27, 56, 425
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\scope-selection.slint", "Slint", 0, 98, 7, 18, 123
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\search-page.slint", "Slint", 0, 103, 11, 22, 136
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\search-result-view.slint", "Slint", 0, 116, 9, 22, 147
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\sidebar.slint", "Slint", 0, 27, 2, 8, 37
"Total", "-", 1214, 1245, 269, 368, 3096
