"filename", "language", "Slint", "Rust", "comment", "blank", "total"
"d:\WorkSpace\RSProject\ExtendedSearch\src\filter.rs", "Rust", 0, 47, 9, 6, 62
"d:\WorkSpace\RSProject\ExtendedSearch\src\main.rs", "Rust", 0, 1, 0, 0, 1
"d:\WorkSpace\RSProject\ExtendedSearch\src\ui_handler.rs", "Rust", 0, 395, 37, 36, 468
"d:\WorkSpace\RSProject\ExtendedSearch\ui\app-window.slint", "Slint", 18, 0, 3, 4, 25
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\content-area.slint", "Slint", 23, 0, 2, 2, 27
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\search-page.slint", "Slint", 103, 0, 11, 22, 136
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\search-result-view.slint", "Slint", 116, 0, 9, 22, 147
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\sidebar.slint", "Slint", -7, 0, 0, 1, -6
"Total", "-", 253, 443, 71, 93, 860
