"filename", "language", "Rust", "Slint", "comment", "blank", "total"
"d:\WorkSpace\RSProject\ExtendedSearch\build.rs", "Rust", 28, 0, 5, 6, 39
"d:\WorkSpace\RSProject\ExtendedSearch\src\filter.rs", "Rust", 132, 0, 20, 15, 167
"d:\WorkSpace\RSProject\ExtendedSearch\src\helper.rs", "Rust", 115, 0, 38, 19, 172
"d:\WorkSpace\RSProject\ExtendedSearch\src\main.rs", "Rust", 14, 0, 4, 8, 26
"d:\WorkSpace\RSProject\ExtendedSearch\src\search_file\build_tree.rs", "Rust", 94, 0, 9, 7, 110
"d:\WorkSpace\RSProject\ExtendedSearch\src\search_file\mod.rs", "Rust", 223, 0, 48, 36, 307
"d:\WorkSpace\RSProject\ExtendedSearch\src\search_file\settings.rs", "Rust", 163, 0, 20, 24, 207
"d:\WorkSpace\RSProject\ExtendedSearch\src\ui_handler.rs", "Rust", 864, 0, 103, 88, 1055
"d:\WorkSpace\RSProject\ExtendedSearch\ui\app-window.slint", "Slint", 0, 61, 6, 9, 76
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\content-area.slint", "Slint", 0, 96, 7, 13, 116
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\custom-button.slint", "Slint", 0, 39, 1, 6, 46
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\filter-settings-optimized.slint", "Slint", 0, 481, 57, 77, 615
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\scope-selection.slint", "Slint", 0, 98, 7, 18, 123
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\search-page.slint", "Slint", 0, 120, 16, 25, 161
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\search-result-view.slint", "Slint", 0, 216, 33, 35, 284
"d:\WorkSpace\RSProject\ExtendedSearch\ui\components\sidebar.slint", "Slint", 0, 27, 2, 8, 37
"Total", "-", 1633, 1138, 376, 394, 3541
